NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Crater;;Imbrian (From -3.85 billions years to -3.2 billions years) ?;;Charles Greeley Abbot (ex Apollonius K);(??);Not named;Not named;Not named;Astrophysicist;U. S. A.;american;20;20 th century;Wilton;1872;Washington;1973;Director of the observatory of the Smithsonian Institution. Determination of the value of the solar constant and the distribution of energy in the solar spectrum.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;North-East;North edge of Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation isolated with bowl shape.;Pretty steep slopes.;Few high walls.;Rounded floor.;1;Low interest or difficult formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;1973-01-01 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Crater;;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);;Niels Henrik Abel;Franz (1913);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;85.776219;85.776219;85.776° East;-34.625700;34.626° South;Librations zone;South-East;Moon South-East limb;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;Few steep slopes supporting Abel L to the West, Barnard and Abel A to the North.;Few high walls almost gobbled to the East in the Mare Australe lava.;Flat floor filled with lava supporting a ghost crater to the North-east.;2;Pretty interesting formation;2;2 days after New Moon;1 day after Full Moon;5;Naked eye;10x binoculars;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;1964-01-01 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Crater;;Upper Imbrian (From -3.8 billions years to -3.2 billions years);;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Not named;Abenezra;Philosopher and astronomer;Spain;spanish;12;12 th century;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;South-East;East of Catharina crater region;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0.0888;A_______________________A;Circular formation with hexagon shape composing a remarkable gathering with Azophi and Abenezra C;Pretty steep slopes crushing Abenezra C to the West and supporting Azophi to the South-West.;Walls in high terraces.;Tormented floor.  Circular crest lines. Hills.;4;Exceptional formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Crater;;Imbrian (From -3.85 billions years to -3.2 billions years) ?;;Antonio Abetti;(??);Not named;Not named;Not named;Astronomer;Italy;italian;19;19 th century;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;North-East;South-East part of Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Ghost circular formation.;Almost flat slopes.;Very flat walls.;Flat floor filled with the lava of Mare Serenitatis.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;1976-01-01 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Crater;;Typical Nectarian (From -3.92 billions years to -3.85 billions years);;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Not named;Abulfeda;Historian;Araby;arabian;14;14 th century;Damas;1273;Hamah;1331;Prince of the dynasty of Ayyubides. Author of  the "History" that follows Ibn al-Athir work;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;South-East;East of Ptolemaeus crater region;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0.0502;A__________________________________________A;Damaged circular formation.;Steep slopes supporting many craterlets whose Abulfeda R to the North-West and Abulfeda S and W to the North.;Very high walls in terraces overlapped by Catena Abulfeda to the South and by Abulfeda U & Y to the North.;Extensive flat floor filled with lava.  White stpot off center and hills.  Craterlets to the North-East and to the South-West.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;1935-01-01 00:00:00;;Ismail Ibn Abū al-Fidā. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
ACOSTA;AA0565S06014E;0565S06014;AA;Crater;;Copernician (From -1.1 billions years to present days) ?;;Cristobal Acosta (ex Langrenus C);(??);Not named;Not named;Not named;Doctor and historian;Portugal;portugese;16;16 th century;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;South-East;Moon East limb;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Circular formation with bowl shape situated on the North slope of Langrenus;Pretty steep slopes.;Pretty high walls.;Rounded floor.;2;Pretty interesting formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;1976-01-01 00:00:00;;Cristobal. Portuguese doctor, natural historian (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Crater;;Nectarian (From -3.92 billions years to -3.85 billions years);;John Couch Adams;Birt / Lee (1865);Not named;Not named;Not named;Astronomer;Great Britain;british;19;19 th century;Laneast;1819;Cambridge;1892;Has demonstrated the existence and indicated the position of Neptune independently of Le Verrier, but his works have not been published by the Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;South-East;Moon South-East limb;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Isolated circular formation;Pretty steep slopes supporting Adams B to the West and Adams D to the East.;Pretty high walls in terraces overlapped by two craterlets to the North and a crater to the South.;Flat floor with craterlets whose a central.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;1970-01-01 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Crater;;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;;Agatharchide;Mädler (1837);Not named;Not named;Not named;Geographer and historian;Greece;greek;-2;2 nd century BC;?;about 100 BC;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;South-West;Mare Humorum region;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Damaged formation partly submerged by the lava of Oceanus Procellarum.;Steep slopes supporting many craterlets.;Few high walls partially destroyed to the North and ridden by Agatharchides F to the South-West.;Extensive flat floor filled with dark lava.  Ruins of central mountain.;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;Agatharchides;Agatharchides;82;51.9832;-19.8537009804279;328.885381439857;-18.9965343475342;-20.710865020752;329.796655654907;327.974077224731;LOLA2011;Europe;Greek;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Agatharchides of Cnidos. Greek geographer (c. 116 B.C.).;http://planetarynames.wr.usgs.gov/Feature/82
AGRIPPA;AA0410N01047E;0410N01047;AA;Crater;;Eratosthenian (From -3.2 billions years to -1.1 billions years);;Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astronomer;Greece;greek;1;1 st century;?;about 50;?;?;Observer in 92 of an eclipse of Pleiads by the Moon.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Nearside;North-East;East of Mare Tranquillitatis region;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0.0674;A_______________________________A;Circular  Formation with destructed shape to the South-West.;Steep slopes supporting Agrippa F and Tempel to the East.;Walls in terraces supporting Agrippa H to the North.;Pretty flat floor.  Central mountain.  Hills and debris to the West.  Rille and craterlets.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;Agrippa;Agrippa;92;43.7467;4.09639942536124;10.4741346961679;4.8177547454834;3.37504768371582;11.1972904205322;9.75096321105957;LOLA2011;Europe;Greek;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;1935-01-01 00:00:00;;Greek astronomer (unkn-fl. A.D. 92).;http://planetarynames.wr.usgs.gov/Feature/92
AIRY;AA1814S00561E;1814S00561;AA;Crater;;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;;Sir George Bidel Airy;Mädler (1837);Crequii;Not named;Not named;Astronomer;England;english;19;19 th century;Alnwick;1801;London;1892;Director of the Observatory of Greenwich in 1835. Works on the celestial mechanics. Author of a theory on the diffraction of the light.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Nearside;South-East;East of Catharina crater region;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Wrecked formation forming an aligned trio North - South with Argelander and Vogel.;Pretty steep slopes supporting Argelander to the North Airy D to the North-West and Airy G to the South-East.;Tormented and high walls ridden to the South by Airy H.;Irregular Few widened floor.  Double central mountain.;3;Very interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;Airy;Airy;113;38.8999;-18.1416280150276;5.61485798365116;-17.5002021789551;-18.783052444458;6.2898998260498;4.93980979919434;LOLA2011;Europe;Great Britain;Crater, craters;AA;Purbach;LAC-95;Adopted by IAU;1935-01-01 00:00:00;;George Biddell. British astronomer (1801-1892).;http://planetarynames.wr.usgs.gov/Feature/113
