NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Cratère;;Ernst K. Abbe;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;19;19 ème siècle;Eisenach;1840;Iéna;1905;Directeur de l'observatoire d'Iéna. Auteur de la théorie classique du microscope en 1877 et de la relation des sinus. Associé avec Carl Zeiss. Inventeur d'un réfractomètre et des premiers objectifs apochromatiques et oculaires orthoscopiques.;175,2;175,2 ° Est;-57,3;57,3 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-065-M;66;66;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ABUL WAFA;Cratère;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Iran;iranien;10;10 ème siècle;Buzadjan;940;Bagdad;997;Auteur d'un traité d'arithmétique et d'une méthode précise de calcul des sinus.. ;116,6;116,6 ° Est;1;1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;55;55;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
AITKEN;Cratère;;Robert Grant Aitken;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;Jackson;1864;Berkeley;1954;"Auteur du ""New General Catalogue of Double Stars"" en 1932.";173,4;173,4 ° Est;-16,8;16,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
AL BIRUNI;Cratère;;Al-Biruni;UAI 1984 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Savant;Iran;iranien;11;11 ème siècle;Kath;973;Rhazni;1050;"Grand voyageur. Astrologue du sultan de Rhazni en 1017. Historien des civilisations. Auteur du ""Kitah al Qanun al Mas'udi"", traité d'astronomie générale inspiré de Ptolémée.";92,5;92,5 ° Est;17,9;17,9 ° Nord;Nord-Est;;III;Mare Marginis;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;77;77;45;45;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
ALDEN;Cratère;;Harold L.Alden;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1890;??;1964;??;110,8;110,8 ° Est;-23,6;23,6 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;III-121-M;104;104;61;61;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ALDER;Cratère;;Kurt Alder;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Chimiste;Allemagne;allemand;20;20 ème siècle;Königshütte;1902;Cologne;1958;Professeur à l'université de Cologne en 1940. Prix Nobel en 1950 avec Otto Diels.;-177,4;177,4 ° Ouest;-48,6;48,6 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-065-M;77;77;45;45;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ALEKHIN;Cratère;;Nikolaj P. Alekhin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1913;??;1964;Concepteur de lanceurs spatiaux.;-131,3;131,3 ° Ouest;-68,2;68,2 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;70;70;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
AL-KHWARIZMI;Cratère;;Al-Khwarizmi;UAI 1991 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Irak;irakien;9;9 ème siècle;??;??;??;825;??;106,4;106,4 ° Est;7,1;7,1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;65;65;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ALTER;Cratère;;Dinsmore Alter;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1888;??;1968;??;-107,5;107,5 ° Ouest;18,7;18,7 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-015-H2;64;64;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
AMICI;Cratère;;Giovanni Battista Amici;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Opticien;Italie;italien;19;19 ème siècle;Modène;1786;Florence;1863;Directeur de l'observatoire de Florence. Inventeur d'un spectroscope à prisme et de lunettes méridiennes. Etude de l'orientation des cristaux dans les minéraux.;-172,1;172,1 ° Ouest;-9,9;9,9 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;54;54;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
